name	vcName	JobName	uid	submitTime	startTime	endTime	state
SN1SRPUTLAI06_Featurizer_Ip_Infrastructure_Safety	SN1SRPUTLAI06	Featurizer_Ip_Infrastructure_Safety	2ab83ab2-7b39-43a3-8f39-2aaed6691a4a	9/7/13 23:02	9/7/13 23:06	9/8/13 0:39	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_MuesMalware	SN1SRPUTLXI07	INC_PADMANR_MuesMalware	a59b69fa-e7f0-4cc1-ace3-0a0a1c4af64f	9/7/13 23:47	9/7/13 23:49	9/8/13 0:17	CompletedFailure
SN1SRPUTLAI08_Report_MHV21stats	SN1SRPUTLAI08	Report_MHV21stats	709f7485-a950-45f3-8396-833ffe44e6f7	9/7/13 23:56	9/7/13 23:57	9/8/13 0:00	CompletedSuccess
SN1SRPUTLXI06_EXP_TelemetryViewV5Errors	SN1SRPUTLXI06	EXP_TelemetryViewV5Errors	afb504dd-d9d5-4931-b52c-285d53272245	9/7/13 23:59	9/8/13 0:00	9/8/13 0:02	CompletedSuccess
SN1SRPUTLAI09_Featurizer_CanonicalUrl_Infrastructure_Age	SN1SRPUTLAI09	Featurizer_CanonicalUrl_Infrastructure_Age	a5fa00e3-9ce6-468a-a475-12f388180d00	9/8/13 0:01	9/8/13 0:03	9/8/13 2:09	CompletedSuccess
SN1SRPUTLAI06_INT_Report_MHV22stats	SN1SRPUTLAI06	INT_Report_MHV22stats	58edb4ea-eda1-4dd2-b487-d3cef7a597a8	9/8/13 0:02	9/8/13 0:03	9/8/13 0:05	CompletedSuccess
SN1SRPUTLAI06_MalwareUrlBlockRelated	SN1SRPUTLAI06	MalwareUrlBlockRelated	520c4eb0-2b49-4fe3-9bd9-555cbd471a4b	9/8/13 0:07	9/8/13 0:07	9/8/13 0:16	CompletedSuccess
SN1SRPUTLAI08_INT_PullTheWebZip	SN1SRPUTLAI08	INT_PullTheWebZip	5fc20029-96d9-43ab-b218-f874096379cf	9/8/13 0:08	9/8/13 0:09	9/8/13 0:35	CompletedSuccess
SN1SRPUTLAI08_INT_Report_UrlBlock	SN1SRPUTLAI08	INT_Report_UrlBlock	93b975bb-bfc9-46fb-ae84-be6ff4f4afff	9/8/13 0:09	9/8/13 0:09	9/8/13 0:11	CompletedSuccess
SN1SRPUTLAI10_ScomDataForFeaturization	SN1SRPUTLAI10	ScomDataForFeaturization	8bd9a198-9100-40d8-b751-af28ce25cedb	9/8/13 0:09	9/8/13 0:10	9/8/13 0:13	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_GenerateWindowsStoreMHHourlyStream	SN1SRPUTLXI07	INC_PADMANR_GenerateWindowsStoreMHHourlyStream	b1c34366-bab9-45de-b8de-0d31d2dea527	9/8/13 0:10	9/8/13 0:11	9/8/13 0:14	CompletedSuccess
SN1SRPUTLJI01_WWATelemetryV5Summarization	SN1SRPUTLJI01	WWATelemetryV5Summarization	bce93c60-3e42-4116-8c46-11e54b9ac751	9/8/13 0:14	9/8/13 0:15	9/8/13 0:40	CompletedSuccess
SN1SRPUTLAI09_INT_Report_BPL_Prod	SN1SRPUTLAI09	INT_Report_BPL_Prod	94dfcc31-7047-4932-970e-3bdb606e0476	9/8/13 0:20	9/8/13 0:21	9/8/13 0:23	CompletedSuccess
MWUrlModel_Hourly2		WUrlModel_Hourly2	941dfc2c-a411-4d8c-87f8-85cf7fcbb2c8	9/8/13 0:27	9/8/13 0:36	9/8/13 1:36	CompletedSuccess
