name	vcName	jobName	uid	submitTime	startTime	endTime	state
SN1SRPUTLAI06_Featurizer_Domain_Infrastructure_Safety	SN1SRPUTLAI06	Featurizer_Domain_Infrastructure_Safety	a74607f9-b7a2-46c8-b46c-1fe94f63afd9	9/8/13 21:01	9/8/13 21:04	9/9/13 0:04	CompletedSuccess
SN1SRPUTLAI07_Featurizer_Ip_Infrastructure_Safety	SN1SRPUTLAI07	Featurizer_Ip_Infrastructure_Safety	e4f8bb4a-bf88-4ed9-9cef-e64b4527ccd7	9/8/13 23:02	9/8/13 23:05	9/9/13 0:35	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_MuesMalware	SN1SRPUTLXI07	INC_PADMANR_MuesMalware	62c2d822-4106-4368-b158-3c0f5a6f2388	9/8/13 23:48	9/8/13 23:51	9/9/13 0:10	CompletedFailure
SN1SRPUTLAI07_Report_MHV21stats	SN1SRPUTLAI07	Report_MHV21stats	2e522448-e0d4-41a3-b22f-882ba0ca479f	9/8/13 23:57	9/8/13 23:58	9/9/13 0:01	CompletedSuccess
SN1SRPUTLXI06_EXP_TelemetryViewV5Errors	SN1SRPUTLXI06	EXP_TelemetryViewV5Errors	08b0b333-dc2e-4f83-9067-f86b95d23cfe	9/9/13 0:00	9/9/13 0:01	9/9/13 0:04	CompletedSuccess
SN1SRPUTLAI08_Featurizer_CanonicalUrl_Infrastructure_Age	SN1SRPUTLAI08	Featurizer_CanonicalUrl_Infrastructure_Age	8e2670ba-fc5d-4e2a-b843-1c67c2d7a6f2	9/9/13 0:01	9/9/13 0:02	9/9/13 1:53	CompletedSuccess
SN1SRPUTLAI08_INT_Report_BPL_Prod	SN1SRPUTLAI08	INT_Report_BPL_Prod	1428de09-89ac-4f95-aa1c-2be405f36922	9/9/13 0:06	9/9/13 0:07	9/9/13 0:12	CompletedSuccess
SN1SRPUTLAI08_INT_Report_UrlBlock	SN1SRPUTLAI08	INT_Report_UrlBlock	48dd9980-a2a4-467f-ba94-289fb95f007a	9/9/13 0:08	9/9/13 0:08	9/9/13 0:10	CompletedSuccess
SN1SRPUTLAI06_INT_PullTheWebZip	SN1SRPUTLAI06	INT_PullTheWebZip	81fc4aa7-38b6-47ec-b989-656bccd64a22	9/9/13 0:09	9/9/13 0:11	9/9/13 0:41	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_GenerateWindowsStoreMHHourlyStream	SN1SRPUTLXI07	INC_PADMANR_GenerateWindowsStoreMHHourlyStream	5a041ce7-5814-4369-bd78-0c50e7fbbc33	9/9/13 0:11	9/9/13 0:12	9/9/13 0:16	CompletedSuccess
SN1SRPUTLJI01_WWATelemetryV5Summarization	SN1SRPUTLJI01	WWATelemetryV5Summarization	bd075635-394f-443a-a2ae-40ea9035bd4b	9/9/13 0:16	9/9/13 0:17	9/9/13 0:49	CompletedSuccess
SN1SRPUTLAI07_MalwareUrlBlockRelated	SN1SRPUTLAI07	MalwareUrlBlockRelated	084b861e-eb79-4da7-ad1d-c271bd475908	9/9/13 0:17	9/9/13 0:17	9/9/13 0:25	CompletedSuccess
CO1SRPUTLDI05_RAPUrlExtractor	CO1SRPUTLDI05	RAPUrlExtractor	6bde453b-5c6d-4de0-9b09-8243f3e212f8	9/9/13 0:18	9/9/13 0:18	9/9/13 0:20	CompletedSuccess
SN1SRPUTLAI06_INT_Report_MHV22stats	SN1SRPUTLAI06	INT_Report_MHV22stats	9a5b3003-db52-4711-be8c-c7e7c2fd2ab4	9/9/13 0:19	9/9/13 0:20	9/9/13 0:21	CompletedSuccess
SN1SRPUTLAI07_ScomDataForFeaturization	SN1SRPUTLAI07	ScomDataForFeaturization	6afe1319-817d-4ff8-940e-88fc6f977c20	9/9/13 0:24	9/9/13 0:25	9/9/13 0:28	CompletedSuccess
MWUrlModel_Hourly2		WUrlModel_Hourly2	fb9c9897-3f6a-4da6-92dd-d7dc6499b063	9/9/13 0:27	9/9/13 0:35	9/9/13 1:40	CompletedSuccess
SN1SRPUTLXI06_EXP_UrsViewV5Errors	SN1SRPUTLXI06	EXP_UrsViewV5Errors	917fe752-c0ee-4bf4-ab5d-f05c0fdf88cb	9/9/13 0:30	9/9/13 0:31	9/9/13 0:32	CompletedSuccess
SN1SRPUTLAI08_INT_MH_RE_retry_VIEW	SN1SRPUTLAI08	INT_MH_RE_retry_VIEW	f1f29edd-ed91-42f8-97bc-22e911e44026	9/9/13 0:32	9/9/13 0:33	9/9/13 0:35	CompletedSuccess
SN1SRPUTLXI05_EXP_FSSEventLogsReports	SN1SRPUTLXI05	EXP_FSSEventLogsReports	1b5596cf-2103-4c4a-93cb-99ede619552f	9/9/13 0:36	9/9/13 0:37	9/9/13 0:40	CompletedSuccess
SN1SRPUTLAI06_INT_Report_TopTraffic	SN1SRPUTLAI06	INT_Report_TopTraffic	0f44a65a-8396-46e2-a8d6-0b6ac7cd4d09	9/9/13 0:39	9/9/13 0:39	9/9/13 0:40	CompletedSuccess
SN1SRPUTLAI08_INT_Report_UrlBlock	SN1SRPUTLAI08	INT_Report_UrlBlock	cd6d7d42-d008-4551-81c9-3e4902a29a60	9/9/13 0:39	9/9/13 0:40	9/9/13 0:41	CompletedSuccess
CO1SRPUTLDI04_JMRUrlExtractor	CO1SRPUTLDI04	JMRUrlExtractor	3e494f7d-ac74-4cde-9de9-b3f146ecfa68	9/9/13 0:39	9/9/13 0:40	9/9/13 0:44	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_DeletesV2	SN1SRPUTLXI07	INC_PADMANR_DeletesV2	ad51b08f-e40b-4a5f-aeeb-394a9fdad9d3	9/9/13 0:39	9/9/13 0:41	9/9/13 0:54	CompletedSuccess
SN1SRPUTLXI05_EXP_MHViewErrors	SN1SRPUTLXI05	EXP_MHViewErrors	ebcb5e39-700d-4946-a25b-ba079864ed4e	9/9/13 0:43	9/9/13 0:44	9/9/13 0:45	CompletedSuccess
SN1SRPUTLAI06_MalwareUrlBlockRelated	SN1SRPUTLAI06	MalwareUrlBlockRelated	1ba65f5e-0c07-48b3-b0ae-85467762a07a	9/9/13 0:44	9/9/13 0:44	9/9/13 0:52	CompletedSuccess
SN1SRPUTLXI07_INC_PADMANR_MuesMalware	SN1SRPUTLXI07	INC_PADMANR_MuesMalware	3afa7af9-d19f-4a26-84ab-b28970a44e7b	9/9/13 0:48	9/9/13 0:51	9/9/13 1:19	CompletedFailure
SN1SRPUTLAI06_ScomDataForFeaturization	SN1SRPUTLAI06	ScomDataForFeaturization	3d3975af-74de-4127-8b47-5b28652d3784	9/9/13 0:54	9/9/13 0:55	9/9/13 0:57	CompletedSuccess
SN1SRPUTLAI10_Report_MHV21stats	SN1SRPUTLAI10	Report_MHV21stats	8eb9bb01-2c34-4e44-8f55-6ce0895997f6	9/9/13 0:57	9/9/13 0:58	9/9/13 1:02	CompletedSuccess
SN1SRPUTLXI06_EXP_TelemetryViewV5Errors	SN1SRPUTLXI06	EXP_TelemetryViewV5Errors	fd7596fe-b4e0-49a8-bdcd-5db7cda511de	9/9/13 1:00	9/9/13 1:01	9/9/13 1:04	CompletedSuccess
SN1SRPUTLAI06_Featurizer_Domain_Infrastructure_Type_BinaryHostingProvider	SN1SRPUTLAI06	Featurizer_Domain_Infrastructure_Type_BinaryHostingProvider	326e36ca-bbd6-4cab-88f7-65e27d9774ce	9/9/13 1:01	9/9/13 1:03	9/9/13 2:03	CompletedSuccess
CO1SRPUTLDI05_RAPUrlExtractor	CO1SRPUTLDI05	RAPUrlExtractor	80bca6bb-3d0f-41a9-a277-7b7dd84d3d36	9/9/13 1:01	9/9/13 1:02	9/9/13 1:07	CompletedSuccess
SN1SRPUTLAI06_INT_Report_BPL_Prod	SN1SRPUTLAI06	INT_Report_BPL_Prod	cf21c719-f0b9-4c6b-849a-483e66c3b2c0	9/9/13 1:06	9/9/13 1:07	9/9/13 1:09	CompletedSuccess
SN1SRPUTLAI07_INT_PullTheWebZip	SN1SRPUTLAI07	INT_PullTheWebZip	1ed51772-3886-4422-b872-a82b29854bcc	9/9/13 1:09	9/9/13 1:10	9/9/13 1:26	CompletedSuccess
SN1SRPUTLAI06_MalwareUrlBlockRelated	SN1SRPUTLAI06	MalwareUrlBlockRelated	12763357-9f2e-4b7e-8bb6-e1782d6a3b15	9/9/13 1:09	9/9/13 1:09	9/9/13 1:17	CompletedSuccess
SN1SRPUTLAI08_INT_Report_UrlBlock	SN1SRPUTLAI08	INT_Report_UrlBlock	eb4b2531-f7ce-407b-a1e4-b54054cfdb10	9/9/13 1:11	9/9/13 1:12	9/9/13 1:13	CompletedSuccess
