9/29/2013 12:02:28 AM	0	0
9/29/2013 12:17:28 AM	00:02:22.2900000	00:00:00
9/29/2013 12:42:28 AM	19:54:45.9410000	13:40:04.8140000
9/29/2013 12:47:28 AM	00:01:43.7890000	00:00:00
9/29/2013 12:52:28 AM	1.00:33:21.2850000	3.00:43:06.3040000
9/29/2013 1:17:28 AM	00:00:50.6260000	00:00:00
9/29/2013 1:42:28 AM	15:09:37.7600000	14:19:59.0400000
9/29/2013 1:52:28 AM	1.01:42:21.5380000	3.10:54:24.4500000
9/29/2013 2:17:28 AM	00:00:50.4400000	00:00:00
9/29/2013 2:27:28 AM	07:59:22.0880000	00:02:53.8260000
9/29/2013 2:47:28 AM	1.09:05:35.3720000	1.10:41:35.8520000
9/29/2013 2:52:28 AM	21:26:19.2870000	09:06:33.2420000
9/29/2013 3:02:28 AM	1.06:32:46.1470000	3.13:45:49.5290000
9/29/2013 3:12:28 AM	04:14:07.9400000	01:41:46.0040000
9/29/2013 3:17:28 AM	00:00:50.5010000	00:00:00
9/29/2013 3:27:28 AM	19:29:02.5320000	03:28:06.2350000
9/29/2013 3:47:28 AM	18:16:20.0410000	12:43:17.4320000
9/29/2013 3:57:28 AM	2.22:34:39.8350000	8.13:42:53.5020000
9/29/2013 4:17:28 AM	00:00:50.1750000	00:00:00
9/29/2013 4:27:28 AM	05:50:26.2810000	01:39:25.1680000
9/29/2013 4:47:28 AM	2.00:16:50.3540000	2.04:06:11.8460000
9/29/2013 5:17:28 AM	00:00:46.9930000	00:00:00
9/29/2013 5:27:28 AM	05:52:12.5850000	01:20:13.5450000
9/29/2013 5:42:28 AM	15:53:49.3470000	13:42:02.2730000
9/29/2013 6:17:28 AM	00:00:48.1800000	00:00:00
9/29/2013 6:27:28 AM	1.03:12:35.5070000	1.15:50:17.1350000
9/29/2013 6:47:28 AM	16:29:26.2120000	11:28:16.1260000
9/29/2013 7:17:28 AM	00:00:46.2970000	00:00:00
9/29/2013 7:27:28 AM	05:20:24.4920000	01:34:05.9120000
9/29/2013 7:37:28 AM	12:20:33.9720000	17:03:45.8250000
9/29/2013 8:17:28 AM	00:01:02.9690000	00:00:00
9/29/2013 8:22:28 AM	17:37:05.1530000	1.18:44:47.6760000
9/29/2013 8:27:28 AM	04:53:47.3240000	01:48:16.8550000
9/29/2013 8:37:28 AM	12:48:21.0390000	18:32:09.9290000
9/29/2013 9:17:28 AM	00:01:08.7470000	00:00:00
9/29/2013 9:27:28 AM	04:31:04.5100000	02:01:37.1290000
9/29/2013 9:37:28 AM	11:56:44.7610000	18:54:30.1620000
9/29/2013 9:42:28 AM	11:56:44.7610000	18:54:30.1620000
9/29/2013 10:17:28 AM	00:00:57.2410000	00:00:00
9/29/2013 10:22:28 AM	19:44:45.0200000	1.23:17:51.2580000
9/29/2013 10:27:28 AM	04:55:54.2140000	02:47:08.3280000
9/29/2013 11:17:28 AM	00:01:18.0540000	00:00:00
9/29/2013 11:22:28 AM	03:41:16.7250000	02:31:46.8290000
9/29/2013 11:37:28 AM	11:41:05.6430000	15:50:56.9500000
9/29/2013 12:17:28 PM	00:00:48.1300000	00:00:00
9/29/2013 12:22:28 PM	03:25:15.4300000	02:27:35.9840000
9/29/2013 12:27:28 PM	10:54:07.8110000	16:55:22.1220000
